=============== RESTART: C:/Users/蔡弘祥/Desktop/普物程式/HW3/HW3.py ==============
第 305 次的週期約為 6517 天;目前平均約為 6484 天
第 306 次的週期約為 6431 天;目前平均約為 6484 天
第 307 次的週期約為 6514 天;目前平均約為 6484 天
第 308 次的週期約為 6516 天;目前平均約為 6484 天
第 309 次的週期約為 6429 天;目前平均約為 6484 天
第 310 次的週期約為 6522 天;目前平均約為 6484 天
第 311 次的週期約為 6520 天;目前平均約為 6484 天
第 312 次的週期約為 6426 天;目前平均約為 6484 天
第 313 次的週期約為 6516 天;目前平均約為 6484 天
第 314 次的週期約為 6431 天;目前平均約為 6484 天
第 315 次的週期約為 6514 天;目前平均約為 6484 天
第 316 次的週期約為 6517 天;目前平均約為 6484 天
第 317 次的週期約為 6429 天;目前平均約為 6484 天
第 318 次的週期約為 6517 天;目前平均約為 6484 天
第 319 次的週期約為 6526 天;目前平均約為 6484 天
第 320 次的週期約為 6419 天;目前平均約為 6484 天
第 321 次的週期約為 6516 天;目前平均約為 6484 天
第 322 次的週期約為 6431 天;目前平均約為 6484 天
第 323 次的週期約為 6516 天;目前平均約為 6484 天
第 324 次的週期約為 6518 天;目前平均約為 6484 天
第 325 次的週期約為 6427 天;目前平均約為 6484 天
第 326 次的週期約為 6523 天;目前平均約為 6484 天
第 327 次的週期約為 6522 天;目前平均約為 6484 天
第 328 次的週期約為 6424 天;目前平均約為 6484 天
第 329 次的週期約為 6516 天;目前平均約為 6484 天
第 330 次的週期約為 6431 天;目前平均約為 6484 天
第 331 次的週期約為 6515 天;目前平均約為 6484 天
第 332 次的週期約為 6518 天;目前平均約為 6484 天
第 333 次的週期約為 6428 天;目前平均約為 6484 天
第 334 次的週期約為 6517 天;目前平均約為 6484 天
第 335 次的週期約為 6434 天;目前平均約為 6484 天
第 336 次的週期約為 6511 天;目前平均約為 6484 天
第 337 次的週期約為 6516 天;目前平均約為 6484 天
第 338 次的週期約為 6430 天;目前平均約為 6484 天
第 339 次的週期約為 6516 天;目前平均約為 6484 天
第 340 次的週期約為 6519 天;目前平均約為 6484 天
第 341 次的週期約為 6426 天;目前平均約為 6484 天
第 342 次的週期約為 6518 天;目前平均約為 6484 天
第 343 次的週期約為 6442 天;目前平均約為 6484 天
第 344 次的週期約為 6510 天;目前平均約為 6484 天
第 345 次的週期約為 6516 天;目前平均約為 6484 天
第 346 次的週期約為 6425 天;目前平均約為 6484 天
第 347 次的週期約為 6521 天;目前平均約為 6484 天
第 348 次的週期約為 6519 天;目前平均約為 6484 天
第 349 次的週期約為 6426 天;目前平均約為 6484 天
第 350 次的週期約為 6517 天;目前平均約為 6484 天
第 351 次的週期約為 6432 天;目前平均約為 6484 天
第 352 次的週期約為 6513 天;目前平均約為 6484 天
第 353 次的週期約為 6516 天;目前平均約為 6484 天
第 354 次的週期約為 6430 天;目前平均約為 6484 天
第 355 次的週期約為 6516 天;目前平均約為 6484 天
第 356 次的週期約為 6520 天;目前平均約為 6484 天
第 357 次的週期約為 6424 天;目前平均約為 6484 天
第 358 次的週期約為 6517 天;目前平均約為 6484 天
第 359 次的週期約為 6431 天;目前平均約為 6484 天
第 360 次的週期約為 6516 天;目前平均約為 6484 天
第 361 次的週期約為 6516 天;目前平均約為 6484 天
第 362 次的週期約為 6428 天;目前平均約為 6484 天
第 363 次的週期約為 6522 天;目前平均約為 6484 天
第 364 次的週期約為 6520 天;目前平均約為 6484 天
第 365 次的週期約為 6426 天;目前平均約為 6484 天
第 366 次的週期約為 6516 天;目前平均約為 6484 天
第 367 次的週期約為 6430 天;目前平均約為 6484 天
第 368 次的週期約為 6515 天;目前平均約為 6484 天
第 369 次的週期約為 6517 天;目前平均約為 6484 天
第 370 次的週期約為 6429 天;目前平均約為 6484 天
第 371 次的週期約為 6516 天;目前平均約為 6484 天
第 372 次的週期約為 6528 天;目前平均約為 6484 天
第 373 次的週期約為 6418 天;目前平均約為 6484 天
第 374 次的週期約為 6516 天;目前平均約為 6484 天
第 375 次的週期約為 6431 天;目前平均約為 6484 天
第 376 次的週期約為 6516 天;目前平均約為 6484 天
第 377 次的週期約為 6521 天;目前平均約為 6484 天
第 378 次的週期約為 6423 天;目前平均約為 6484 天
第 379 次的週期約為 6524 天;目前平均約為 6484 天
第 380 次的週期約為 6522 天;目前平均約為 6484 天
第 381 次的週期約為 6424 天;目前平均約為 6484 天
第 382 次的週期約為 6516 天;目前平均約為 6484 天
第 383 次的週期約為 6430 天;目前平均約為 6484 天
第 384 次的週期約為 6515 天;目前平均約為 6484 天
第 385 次的週期約為 6518 天;目前平均約為 6484 天
第 386 次的週期約為 6428 天;目前平均約為 6484 天
第 387 次的週期約為 6517 天;目前平均約為 6484 天
第 388 次的週期約為 6433 天;目前平均約為 6484 天
第 389 次的週期約為 6512 天;目前平均約為 6484 天
第 390 次的週期約為 6516 天;目前平均約為 6484 天
第 391 次的週期約為 6430 天;目前平均約為 6484 天
第 392 次的週期約為 6516 天;目前平均約為 6484 天
第 393 次的週期約為 6524 天;目前平均約為 6484 天
第 394 次的週期約為 6422 天;目前平均約為 6484 天
第 395 次的週期約為 6522 天;目前平均約為 6484 天
第 396 次的週期約為 6436 天;目前平均約為 6484 天
第 397 次的週期約為 6511 天;目前平均約為 6484 天
第 398 次的週期約為 6516 天;目前平均約為 6484 天
第 399 次的週期約為 6429 天;目前平均約為 6484 天
第 400 次的週期約為 6517 天;目前平均約為 6484 天
第 401 次的週期約為 6519 天;目前平均約為 6484 天
